الرقم,الولاية,البلدية
1,أدرار,أدرار
2,الشلف,"الشلف, تنس"
3,الأغواط,الأغواط
4,أم البواقي,"أم البواقي, عين البيضاء"
5,باتنة,باتنة
6,بجاية,"بجاية, أقبو"
7,بسكرة,بسكرة
8,بشار,بشار
9,البليدة,"البليدة, بوقرة, موزاية"
10,البويرة,البويرة
11,تمنراست,تمنراست
12,تبسة,تبسة
13,تلمسان,تلمسان
14,تيارت,تيارت
15,تيزي وزو,تيزي وزو
16,الجزائر," بئر خادم, ليدو, أولاد فايت, الرغاية, بئر توتة, الجمهورية, براقي"
17,الجلفة,الجلفة
18,جيجل,"جيجل, الطاهر"
19,سطيف,"سطيف, العلمة"
20,سعيدة,سعيدة
21,سكيكدة,سكيكدة
22,سيدي بلعباس,سيدي بلعباس
23,عنابة,"عنابة, البوني"
24,قالمة,قالمة
25,قسنطينة,"زواغي, المدينة الجديدة, بل فيو"
26,المدية,المدية
27,مستغانم,مستغانم
28,المسيلة,"المسيلة, بوسعادة"
29,معسكر,معسكر
30,ورقلة,"ورقلة, حاسي مسعود"
31,وهران,"المرشد, ميلينيوم, مرافال"
32,البيض,البيض
34,برج بوعريريج,برج بوعريريج
35,بومرداس,"بومرداس, برج منايل"
36,الطارف,الطارف
38,تيسمسيلت,تيسمسيلت
39,الوادي,الوادي
40,خنشلة,خنشلة
41,سوق أهراس,سوق أهراس
42,تيبازة,"تيبازة, القليعة"
43,ميلة,ميلة
44,عين الدفلى,عين الدفلى
45,النعامة,النعامة
46,عين تموشنت,عين تموشنت
47,غرداية,"غرداية, المنيعة"
48,غليزان,غليزان
49,تيميمون,تيميمون
51,أولاد جلال,أولاد جلال
52,بني عباس,"بني عباس, حي المستقبل"
53,عين صالح,عين صالح
54,عين قزام,عين قزام
55,تقرت,تقرت
57,المغير,المغير
58,المنيعة,المنيعة